"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"38","New Mexico","New Mexico|New Mexico TAC|Albuquerque-1|Albuquerque-2|ALBQ-MMDVM|La Mosca Pk, NM|Capilla Peak, NM|BM Parrot-1|BM Disconnect|FDMR New Mexico|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","New Mexico TAC","440.92500","440.92500","New Mexico","440.92500","440.92500","0"
"39","New York","New York|New York TAC|New York Upstate|New York -Metro|New York ADK|LWR Hudson Vy,NY|K2MAK New York|Chemung Co,NY WX|Madiso, NY ARES|Metro, NY ARES|Southern Tier,NY|Mid-Hudson Vy,NY|Monroe County,NY|Long Island, NY|Valhalla, NY|Genesee Vly, NY|New York WNYFL|Rochester, NY|Bronx New York|Brooklyn, NY|New York City|Boston New York|Buffalo New York|Albany New York|North Carolina|BM Parrot-1|BM Disconnect|FDMR New York|FDMR WNY-DIGITAL|FDMR NY-NJ-PA|FDMR Upstate-NY|FDMR NY-Metro|FDMR So.Tier NY|FDMR MonroeCo,NY|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","New York TAC","440.92500","440.92500","New York","440.92500","440.92500","0"
"40","North Carolina","North Carolina|NC TAC|Triangle, NC|Central, NC|Eastern, NC|Carolina Link|The Hornet's, NC|NC WNC Tac Comm|Outer Banks-1,NC|Outer Banks-2,NC|NC WX|Catawba Vly, NC|Hillsborough, NC|Greensboro, NC|Greenville, NC|Randleman, NC|Sauratown, NC|RCC-Link, NC|Asheville, NC|NC NC4ES Cluster|BM Parrot-1|BM Disconnect|FDMR NC TAC|FDMR East NC|FDMR OBX|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","NC TAC","440.92500","440.92500","North Carolina","440.92500","440.92500","0"
"41","North Dakota","North Dakota|North Dakota TAC|Fargo, ND|BM Parrot-1|BM Disconnect|BM Parrot-2|FDMR ND|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","North Dakota TAC","440.92500","440.92500","North Dakota","440.92500","440.92500","0"
"42","Ohio","Ohio|Ohio TAC|Northeast Ohio|Southeast Ohio|Southwest Ohio|Southern Ohio|Central Ohio WX|Ohio ARES|Ohio EMCOMM|Ohio SkyWarn|W8SDR DMR Ohio|Ohio Link-YSF|Bellbrook Ohio|Greenville Ohio|Doylestown Ohio|Wooster Ohio|Stockport Ohio|Findlay Ohio|Clermont Co Ohio|Mansfield Ohio|Montville Ohio|Atwater Ohio|Warrensville, OH|Marietta Ohio|Akron Ohio|Marion Ohio|Marysville Ohio|Meigs Co Ohio|Massillon Ohio|Youngstown Ohio|Oklahoma|BM Parrot-1|BM Disconnect|FDMR Ohio|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Ohio TAC","440.92500","440.92500","Ohio","440.92500","440.92500","0"
"43","Oklahoma","Oklahoma|Oklahoma TAC|Oklahoma Central|Oklahoma East|Oklahoma WX Chat|SE OK EM TAC|Oklahoma WX|Oklahoma Lawton|Fort Gibson, OK|Bartlesville, OK|Oklahoma SCARS|Oklahoma YSF|BM Parrot-1|BM Disconnect|FDMR Oklahoma|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Oklahoma TAC","440.92500","440.92500","Oklahoma","440.92500","440.92500","0"
"44","Oregon","Oregon|Oregon TAC|Central Oregon|Western Oregon|RepeaterBook, OR|Stanfield Oregon|EastCoast REF,OR|BM Parrot-1|BM Disconnect|FDMR Oregon|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Oregon TAC","440.92500","440.92500","Oregon","440.92500","440.92500","0"
"45","Pennsylvania","Pennsylvania|Pennsylvania TAC|PEMA EmCom RACES|Western, PA|North Central,PA|Northeast, PA|PA Cross-Mode|PA EPA DMR|PA Tri-County|PA RF-IT|PA Zednet|PA PADMR Group|PA KC2ABV RPTR|PA PennLink Grp|Jennersville, PA|Fort Venango, PA|PA SCPA Chat|Macungie, PA|Poconos HUB, PA|Indiana, PA|Williamsport,PA1|Williamsport,PA2|Greenville, PA|Tamaqua, PA|Johnstown, PA|Bedford, PA|Cornwall, PA|Westfield, PA|BM Parrot-1|BM Disconnect|FDMR PA|FDMR NY-NJ-PA|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Pennsylvania TAC","440.92500","440.92500","Pennsylvania","440.92500","440.92500","0"
"46","Rhode Island","Rhode Island|RI Chat|RI Digital Link|Quahog Rpt, RI|MMDVM Bridge, RI|BM Parrot-1|BM Disconnect|FDMR Rhode Is|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","RI Chat","440.92500","440.92500","Rhode Island","440.92500","440.92500","0"
"47","South Carolina","South Carolina|SC TAC|SC ARES|Low Country, SC|Upstate, SC|Midlands, SC|Pee Dee, SC|Bluffton, SC|KK4FU Chat, SC|BM Parrot-1|BM Disconnect|FDMR SC|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","SC TAC","440.92500","440.92500","South Carolina","440.92500","440.92500","0"
